City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
157,Comodoro Rivadavia,AR,-45.8667,-67.5,62.46,29,40,8.05,scattered clouds
158,Posyet,RU,42.6508,130.8046,24.39,81,36,4.09,scattered clouds
159,Ahipara,NZ,-35.1667,173.1667,73.62,95,99,9.8,overcast clouds
160,Cherskiy,RU,68.75,161.3,-35.21,99,100,6.53,overcast clouds
161,Mount Gambier,AU,-37.8333,140.7667,48.11,93,100,0.0,overcast clouds
162,Asosa,ET,10.0667,34.5333,70.36,32,2,3.87,clear sky
163,San Carlos Del Zulia,VE,9.0,-71.9135,88.68,55,44,7.67,scattered clouds
164,Port Macquarie,AU,-31.4333,152.9167,66.16,74,92,7.83,overcast clouds
165,Adrar,MR,20.5022,-10.0711,69.08,15,93,11.54,overcast clouds
166,Candolim,IN,15.5181,73.7626,73.27,66,6,8.86,clear sky
167,Dunedin,NZ,-45.8742,170.5036,60.58,90,6,3.83,clear sky
168,Bengkulu,ID,-3.8004,102.2655,75.2,78,100,5.17,overcast clouds
169,Unity,CA,52.4501,-109.1682,39.25,80,42,27.07,scattered clouds
170,Surt,LY,31.2089,16.5887,58.19,62,100,7.07,overcast clouds
171,Ardahan,TR,41.1087,42.7022,6.75,98,79,3.89,broken clouds
172,Salalah,OM,17.0151,54.0924,73.49,64,0,4.61,clear sky
173,Egvekinot,RU,66.3167,-179.1667,-25.89,88,28,4.68,scattered clouds
174,Kusti,SD,13.1629,32.6635,76.84,17,0,13.58,clear sky
175,Gizo,SB,-8.103,156.8419,80.62,80,99,6.87,moderate rain
176,Guerrero Negro,MX,27.9769,-114.0611,74.05,25,0,2.82,clear sky
177,Bilma,NE,18.6853,12.9164,66.13,16,0,7.92,clear sky
178,Tokyo,JP,35.6895,139.6917,36.63,93,75,19.57,moderate rain
179,Trairi,BR,-3.2778,-39.2689,82.49,68,100,7.54,overcast clouds
180,Myaundzha,RU,63.0494,147.1858,-27.63,97,99,3.13,overcast clouds
181,Zhigansk,RU,66.7697,123.3711,-29.56,97,99,11.21,overcast clouds
182,Ilulissat,GL,69.2167,-51.1,-2.18,60,75,1.14,broken clouds
183,Bethel,US,41.3712,-73.414,51.93,49,9,1.99,clear sky
184,Muros,ES,42.7762,-9.0603,54.09,93,100,5.82,overcast clouds
185,Svetlogorsk,BY,52.6333,29.7333,33.48,95,97,7.05,overcast clouds
186,Ovre Ardal,NO,61.3167,7.8,25.68,99,94,1.45,overcast clouds
187,Simao,CN,22.7886,100.9748,48.47,47,36,0.49,scattered clouds
188,Hamilton,US,39.1834,-84.5333,46.99,56,20,11.5,few clouds
189,Lebu,CL,-37.6167,-73.65,61.21,64,90,26.11,overcast clouds
190,Hithadhoo,MV,-0.6,73.0833,81.46,70,100,6.89,overcast clouds
191,Mana,GF,5.6592,-53.7767,80.26,75,65,11.01,broken clouds
192,Middletown,US,39.5151,-84.3983,46.54,65,40,13.8,scattered clouds
193,Peniche,PT,39.3558,-9.3811,59.11,87,100,3.78,light rain
194,Erzin,TR,36.9559,36.2,50.72,76,31,3.89,scattered clouds
195,Murindo,CO,6.9848,-76.7544,86.77,69,53,3.56,broken clouds
196,Kalmunai,LK,7.4167,81.8167,75.61,86,98,3.24,overcast clouds
197,Mogadishu,SO,2.0371,45.3438,76.96,79,10,22.84,clear sky
198,Ponta Do Sol,PT,32.6667,-17.1,69.71,55,100,7.85,overcast clouds
199,Constitucion,CL,-35.3333,-72.4167,66.25,63,100,7.83,overcast clouds
200,Chegdomyn,RU,51.1167,133.0167,-2.18,99,100,1.3,overcast clouds
201,Biak,ID,-0.9131,122.8766,75.92,83,60,3.0,broken clouds
202,Mangan,IN,27.5167,88.5333,48.7,77,89,5.28,overcast clouds
203,Xingyi,CN,24.1877,102.817,43.7,57,25,4.27,scattered clouds
204,Esna,EG,25.2934,32.554,53.62,39,0,7.78,clear sky
205,Sain Alto,MX,23.5833,-103.25,66.16,6,67,10.51,broken clouds
206,Mount Isa,AU,-20.7333,139.5,80.37,29,45,12.66,scattered clouds
207,Bar Harbor,US,44.3876,-68.2039,44.65,85,100,17.9,overcast clouds
208,Belaya Gora,RU,68.5333,146.4167,-41.78,99,38,4.12,scattered clouds
209,Deolali,IN,19.95,73.8333,62.42,46,60,6.87,broken clouds
210,Makakilo City,US,21.3469,-158.0858,79.12,57,0,5.75,clear sky
211,Mackenzie,CA,55.2999,-123.1698,41.22,42,0,10.36,clear sky
212,Ambovombe,MG,-25.1667,46.0833,74.79,93,34,12.48,scattered clouds
213,Ryotsu,JP,38.0833,138.4333,38.37,65,92,9.04,overcast clouds
214,Leshukonskoye,RU,64.8989,45.7622,23.56,88,100,10.6,overcast clouds
215,Raga,SS,8.4596,25.678,76.91,19,37,5.06,scattered clouds
216,Road Town,VG,18.4167,-64.6167,78.89,83,75,6.91,broken clouds
217,Coquimbo,CL,-29.9533,-71.3436,71.33,60,100,6.91,overcast clouds
