City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
216,Road Town,VG,78.89,broken clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
217,Coquimbo,CL,71.33,overcast clouds,-29.9533,-71.3436,Hostel Del Puerto
218,Papetoai,PF,83.79,light rain,-17.4961,-149.8729,Fare Vaihere
220,Kavaratti,IN,79.07,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
221,Hambantota,LK,76.12,scattered clouds,6.1241,81.1185,Bungalow 63
222,Suba,PH,79.47,overcast clouds,10.8438,121.0102,Jarnchi Pension House
224,Yamoussoukro,CI,84.09,haze,6.8206,-5.2767,Residence Heaven
225,Montalvo,EC,80.78,light rain,-1.8,-79.3333,Motel Los Laureles
227,Sao Joao Da Barra,BR,77.09,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
234,Robertsport,LR,80.1,clear sky,6.7533,-11.3686,Kwepunha Retreat
235,Quelimane,MZ,80.55,few clouds,-17.8786,36.8883,Hotel Flamingo
240,Cururupu,BR,76.32,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
243,Harper,LR,79.36,clear sky,4.375,-7.7169,Screensaver
245,Saint-Philippe,RE,74.79,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
249,Isangel,VU,80.22,overcast clouds,-19.55,169.2667,Tanna Lodge
251,Kaeo,NZ,75.33,overcast clouds,-35.1,173.7833,Bushido Lodge
253,Mackay,AU,72.68,scattered clouds,-21.15,149.2,International Lodge Motel
255,Richards Bay,ZA,72.68,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
257,Chuy,UY,74.77,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
261,Carutapera,BR,77.29,overcast clouds,-1.195,-46.02,Lidera
266,Bubaque,GW,79.05,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
271,Kahului,US,77.85,clear sky,20.8947,-156.47,Maui Seaside Hotel
274,Laguna,US,76.66,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
275,Port Blair,IN,75.24,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
276,Anloga,GH,84.42,clear sky,5.7947,0.8973,Pin Drop Hotel
283,Tchollire,CM,72.52,clear sky,8.4022,14.1698,"Auberge ""l'amicale"""
288,Alta Gracia,AR,88.72,clear sky,-31.6529,-64.4283,Hotel Ritz
293,Mahibadhoo,MV,81.18,scattered clouds,3.7833,72.9667,Omadhoo Inn
300,Calama,CL,70.29,clear sky,-22.4667,-68.9333,Diego De Almagro Calama
304,Namatanai,PG,79.72,light rain,-3.6667,152.4333,Seagulls Inn Namatani
305,Camopi,GF,74.39,overcast clouds,3.1655,-52.3158,La pousada
310,Port-Gentil,GA,81.25,overcast clouds,-0.7193,8.7815,Fengshui Residence
315,Kieta,PG,80.44,light rain,-6.2167,155.6333,Uruna Bay Retreat
318,Alyangula,AU,75.07,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
321,Pietersburg,ZA,70.65,scattered clouds,-23.9045,29.4688,Bed and Breakfast @ Reggies B&B
323,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
326,Cayenne,GF,77.09,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
328,Pantai Remis,MY,75.56,moderate rain,4.4557,100.6288,Leisure Homestay
329,San Ramon,US,75.56,clear sky,37.7799,-121.978,San Ramon Marriott
332,Fougamou,GA,74.75,light rain,-1.2154,10.5838,Résidence d'Hôtes Bapedy
335,Acarau,BR,81.05,overcast clouds,-2.8856,-40.12,castelo pizzaria
337,Kupang,ID,77.23,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
351,Ayorou,NE,77.32,clear sky,14.7308,0.9174,Hotel Amenokal
353,Ballitoville,ZA,77.14,light intensity drizzle,-29.539,31.2144,Hampshire Hotel-Ballito
355,Bowen,AU,71.82,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
363,Booue,GA,78.89,broken clouds,-0.0921,11.9385,Splendeur de l'équateur
365,Cabo San Lucas,MX,79.52,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
366,Piacabucu,BR,81.5,clear sky,-10.4056,-36.4344,Piaçabuçu News
372,Omboue,GA,78.04,light rain,-1.5746,9.2618,Hotel Olako
374,Tocopilla,CL,70.03,few clouds,-22.092,-70.1979,Hotel Galvarino
376,Flinders,AU,71.19,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
380,Necochea,AR,83.03,scattered clouds,-38.5473,-58.7368,dyd -mar Hotel
381,Cabedelo,BR,84.87,clear sky,-6.9811,-34.8339,Hotel Pigalle
383,La Peca,PE,73.09,light rain,-5.6111,-78.435,Hospedaje San Miguelito
390,Meulaboh,ID,75.54,overcast clouds,4.1363,96.1285,Kost Pria
391,Apiai,BR,75.27,scattered clouds,-24.5094,-48.8425,Pousada Villa Branca
392,Morondava,MG,81.37,overcast clouds,-20.2833,44.2833,La Case Bambou
399,Oranjestad,AW,78.91,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
408,Alofi,NU,84.09,broken clouds,-19.0595,-169.9187,Taloa Heights
410,Lodwar,KE,85.6,clear sky,3.1191,35.5973,Solmar Gracious Hotel
412,Ambilobe,MG,73.83,heavy intensity rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
413,Jacareacanga,BR,85.44,scattered clouds,-6.2222,-57.7528,Casa do Ian😎
430,Atambua,ID,72.34,moderate rain,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
432,Miri,MY,77.14,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
438,Plaeng Yao,TH,82.8,light rain,13.5847,101.284,Nongkrok Resort
441,Ewa Beach,US,80.55,clear sky,21.3156,-158.0072,Uncle Junior Robert
447,Vaitape,PF,81.18,broken clouds,-16.5167,-151.75,Conrad Bora Bora Nui
448,Pinheiro Machado,BR,79.05,clear sky,-31.5783,-53.3811,Hotel e Restaurante Quitandinha
449,Si Chiang Mai,TH,74.95,scattered clouds,17.9564,102.5867,Don Chan Palace Hotel & Convention
450,San-Pedro,CI,79.45,clear sky,4.7485,-6.6363,Hotel Maria
454,Coro,VE,82.96,broken clouds,11.4045,-69.6734,Federal
456,Houma,US,70.0,few clouds,29.5958,-90.7195,Courtyard by Marriott Houma
458,Barquisimeto,VE,86.63,scattered clouds,10.0739,-69.3228,Hotel Príncipe
459,Acapulco,MX,85.82,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
461,Axim,GH,79.18,clear sky,4.8699,-2.2405,Axim Beach Resort And Spa
463,Vila Velha,BR,76.95,moderate rain,-20.3297,-40.2925,Quality Suites Vila Velha
467,Honiara,SB,80.71,moderate rain,-9.4333,159.95,Heritage Park Hotel
468,Grand Gaube,MU,77.4,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
469,Mocuba,MZ,72.82,broken clouds,-16.8392,36.9856,Phama Lodge
470,Samarai,PG,81.36,broken clouds,-10.6167,150.6667,Nuli Sapi
471,Wewak,PG,78.48,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
477,Weligama,LK,74.75,few clouds,5.9667,80.4167,Weligama Bay Resort
481,Bandarbeyla,SO,73.76,few clouds,9.4942,50.8122,JABIR HOTEL
482,Machali,CL,70.88,overcast clouds,-34.1833,-70.6667,Mining House
488,Mumford,GH,79.95,clear sky,5.2618,-0.759,Spanish Villa
490,Santa Rosa,PH,79.11,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
491,Puerto Escondido,MX,85.03,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
493,Ocampo,MX,71.28,clear sky,21.65,-101.5,Hotel Estancia del Vaquero
494,Marsh Harbour,BS,73.02,broken clouds,26.5412,-77.0636,Abaco Beach Resort
495,Loa Janan,ID,72.52,overcast clouds,-0.583,117.095,Kost bu jono
498,Touros,BR,86.9,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
506,Marang,MY,75.11,light rain,5.2056,103.2059,DBarakah Homestay
508,Jalingo,NG,76.69,clear sky,8.8833,11.3667,Debright Motel
510,Pisco,PE,80.02,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
520,Pacific Grove,US,79.81,clear sky,36.6177,-121.9166,Lovers Point Inn
521,Kerema,PG,77.4,overcast clouds,-7.9631,145.7785,Frena Lodge
